"","frame","sessionIndex","transitionAfter","sessionStartTime","numberOfCharts","isDynamic","triggerTime","uniqueChartState","uniqueChartIndex","clickTime","UniqueStatePresent","TrueUniqueState","TrueUniqueChartIndex"
"1",2,"47",2,1730221505367,8,TRUE,1730221514990,3,5,1730221516059,TRUE,"2, 3","5"
"2",2,"48",3,1730221519621,8,TRUE,1730221532255,1,2,1730221533395,TRUE,"3","7"
"3",3,"48",3,1730221519621,8,TRUE,1730221532255,1,2,1730221533395,TRUE,"1","2"
"4",2,"49",4,1730221535468,8,TRUE,1730221553207,2,5,1730221554203,FALSE,NA,NA
"5",3,"49",4,1730221535468,8,TRUE,1730221553207,2,5,1730221554203,FALSE,NA,NA
"6",4,"49",4,1730221535468,8,TRUE,1730221553207,2,5,1730221554203,TRUE,"1, 2","0, 5"
"7",2,"50",5,1730221557873,8,TRUE,1730221578575,4,3,1730221579516,FALSE,NA,NA
"8",3,"50",5,1730221557873,8,TRUE,1730221578575,4,3,1730221579516,FALSE,NA,NA
"9",4,"50",5,1730221557873,8,TRUE,1730221578575,4,3,1730221579516,FALSE,NA,NA
"10",5,"50",5,1730221557873,8,TRUE,1730221578575,4,3,1730221579516,TRUE,"4","3"
"11",2,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,FALSE,NA,NA
"12",3,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,FALSE,NA,NA
"13",4,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,FALSE,NA,NA
"14",5,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,FALSE,NA,NA
"15",6,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,FALSE,NA,NA
"16",7,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,FALSE,NA,NA
"17",8,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,FALSE,NA,NA
"18",9,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,TRUE,"1","5"
"19",10,"55",9,1730221601940,32,TRUE,1730221647743,1,5,1730221649033,TRUE,"1","5"
"20",2,"56",4,1730221653267,32,TRUE,1730221669199,3,26,1730221670305,FALSE,NA,NA
"21",3,"56",4,1730221653267,32,TRUE,1730221669199,3,26,1730221670305,FALSE,NA,NA
"22",4,"56",4,1730221653267,32,TRUE,1730221669199,3,26,1730221670305,TRUE,"3","26"
"23",2,"57",8,1730221674863,32,TRUE,1730221710936,2,21,1730221711523,FALSE,NA,NA
"24",3,"57",8,1730221674863,32,TRUE,1730221710936,2,21,1730221711523,FALSE,NA,NA
"25",4,"57",8,1730221674863,32,TRUE,1730221710936,2,21,1730221711523,FALSE,NA,NA
"26",5,"57",8,1730221674863,32,TRUE,1730221710936,2,21,1730221711523,FALSE,NA,NA
"27",6,"57",8,1730221674863,32,TRUE,1730221710936,2,21,1730221711523,FALSE,NA,NA
"28",7,"57",8,1730221674863,32,TRUE,1730221710936,2,21,1730221711523,FALSE,NA,NA
"29",8,"57",8,1730221674863,32,TRUE,1730221710936,2,21,1730221711523,TRUE,"2","21"
"30",2,"58",4,1730221713861,32,TRUE,1730221731081,4,7,1730221753369,FALSE,NA,NA
"31",3,"58",4,1730221713861,32,TRUE,1730221731081,4,7,1730221753369,FALSE,NA,NA
"32",4,"58",4,1730221713861,32,TRUE,1730221731081,4,7,1730221753369,TRUE,"4","7"
